Award_Year,Category,Date_Awarded,Prize_Amount,Prize_Amount_Adj,Prize_Link,Portion,Sort_Order,Motivation,Laureate_Full_Name,Laureate_Known_Name,Organization_Name,Laureate_Link,laureate_id,Birth_Date,Birth_City,Birth_Country,Birth_Lat,Birth_Lon,Gender,Affiliation_Name,Award_City,Award_Country,Award_Lat,Award_Lon,Age_When_Awarded,Sole_Winner,Org_Name,Org_Founded_Date,Founded_Country
2023,Physics,10/3/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,'1/3',1,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Pierre Agostini,Pierre Agostini,,https://api.nobelprize.org/2/laureate/1026,1026,7/23/1941,Tunis,French protectorate of Tunisia,36.810714,10.181034,male,The Ohio State University,"Columbus, OH",USA,39.828175,-98.5795,82,FALSE,,,
2023,Physics,10/3/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,'1/3',2,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Ferenc Krausz,Ferenc Krausz,,https://api.nobelprize.org/2/laureate/1027,1027,5/17/1962,Mór,Hungary,47.371667,18.208611,male,Max Planck Institute of Quantum Optics,Garching,Germany,51,10,61,FALSE,,,
2023,Physics,10/3/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/phy/2023,'1/3',3,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,Anne L’Huillier,Anne L’Huillier,,https://api.nobelprize.org/2/laureate/1028,1028,8/16/1958,Paris,France,48.860093,2.355954,female,Lund University,Lund,Sweden,61,15,65,FALSE,,,
2023,Peace,10/6/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/pea/2023,'1',1,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,Narges Mohammadi,Narges Mohammadi,,https://api.nobelprize.org/2/laureate/1033,1033,4/21/1972,Zanjan,Iran,36.666667,48.483333,female,,,,,,51,TRUE,,,
2023,Literature,10/5/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/lit/2023,'1',1,for his innovative plays and prose which give voice to the unsayable,Jon Fosse,Jon Fosse,,https://api.nobelprize.org/2/laureate/1032,1032,9/29/1959,Haugesund,Norway,59.41015,5.275511,male,,,,,,64,TRUE,,,
2023,Economic Sciences,10/9/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/eco/2023,'1',1,for having advanced our understanding of women’s labour market outcomes,Claudia Goldin,Claudia Goldin,,https://api.nobelprize.org/2/laureate/1034,1034,1/1/1946,"New York, NY",USA,40.715758,-74.0113,female,Harvard University,"Cambridge, MA",USA,39.828175,-98.5795,77,TRUE,,,
2023,Chemistry,10/4/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,'1/3',1,for the discovery and synthesis of quantum dots,Moungi G. Bawendi,Moungi Bawendi,,https://api.nobelprize.org/2/laureate/1029,1029,1/1/1961,Paris,France,48.860093,2.355954,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,39.828175,-98.5795,62,FALSE,,,
2023,Chemistry,10/4/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,'1/3',2,for the discovery and synthesis of quantum dots,Louis E. Brus,Louis Brus,,https://api.nobelprize.org/2/laureate/1030,1030,1/1/1943,"Cleveland, OH",USA,41.496386,-81.710675,male,Columbia University,"New York, NY",USA,39.828175,-98.5795,80,FALSE,,,
2023,Chemistry,10/4/2023,11000000,11000000,https://api.nobelprize.org/2/nobelPrize/che/2023,'1/3',3,for the discovery and synthesis of quantum dots,Aleksey Yekimov ,Aleksey Yekimov ,,https://api.nobelprize.org/2/laureate/1031,1031,1/1/1945,,USSR,,,male,Nanocrystals Technology Inc.,"New York, NY",USA,39.828175,-98.5795,78,FALSE,,,
2022,Physiology or Medicine,10/3/2022,10000000,10000000,https://api.nobelprize.org/2/nobelPrize/med/2022,'1',1,for his discoveries concerning the genomes of extinct hominins and human evolution,Svante Pääbo,Svante Pääbo,,https://api.nobelprize.org/2/laureate/1011,1011,4/20/1955,Stockholm,Sweden,59.325371,18.070794,male,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany,51,10,67,TRUE,,,
